dch1time,dch1,dch5time,dch5,dch10time,dch10,dch30time,dch30,,Atime,A1,A5,A10,A30,,C1,C5,C10,C30,,cv1,cv5,cv10,cv30
0.103,9.37E+01,0.1015,4.49E+02,0.0973,9.27E+02,0.1058,2.96E+03,A ->,0.00E+00,107,498,1028,3206,C->,107,498,1028,3206,cv(C)->,0,0,0,0
0.2178,8.11E+01,0.216,4.00E+02,0.2195,8.26E+02,0.2288,2.28E+03,,5.00E-02,98.86855778,460.8625143,951.9741299,2970.447619,,98.88798133,460.882062,951.967692,2970.360229,,0.669406355,4.101259913,9.312618947,31.03436506
0.3707,6.63E+01,0.3843,3.27E+02,0.3957,6.28E+02,0.3819,1.86E+03,,1.00E-01,91.65344022,428.8846236,887.225109,2771.33142,,91.70542318,428.9125287,887.1638506,2770.978824,,0.793361909,5.171356192,11.8464751,39.6001015
0.5543,5.26E+01,0.5522,2.83E+02,0.5556,5.76E+02,0.5419,1.68E+03,,1.50E-01,85.14385677,400.6466324,830.45439,2597.607179,,85.23377793,400.6726004,830.3081968,2596.881773,,0.877939281,5.984379255,13.7910642,46.2217763
0.7227,4.17E+01,0.7128,2.34E+02,0.7235,5.13E+02,0.7095,1.55E+03,,2.00E-01,79.24247773,375.5975209,780.4665033,2445.43654,,79.37406033,375.6126934,780.2096064,2444.245552,,0.933116932,6.625248389,15.36175733,51.64068618
0.8834,3.41E+01,0.8806,2.09E+02,0.8836,4.57E+02,0.8848,1.40E+03,,2.50E-01,73.86948663,353.2911533,736.3052634,2311.767236,,74.04512628,353.287434,735.9143284,2310.026532,,0.965752608,7.128928221,16.63607759,56.10856134
1.044,2.78E+01,1.056,1.84E+02,1.059,4.20E+02,1.067,1.34E+03,,3.00E-01,68.95868924,333.3540734,697.1721238,2194.053446,,69.17967454,333.3241598,696.6261128,2191.68692,,0.981028314,7.521452643,17.67066382,59.80793375
1.22,2.21E+01,1.231,1.64E+02,1.226,4.02E+02,1.227,1.26E+03,,3.50E-01,64.45470313,315.4708572,662.3935903,2090.149969,,64.72138762,315.40827,661.6736693,2087.08909,,0.982911388,7.82284718,18.50884864,62.87813106
1.3807,1.83E+01,1.384,1.46E+02,1.3936,3.80E+02,1.387,1.23E+03,,4.00E-01,60.31083304,299.3731699,631.3973238,1998.235132,,60.62277495,299.2722557,630.4867508,1994.418471,,0.974478618,8.048737979,19.18432352,65.4272851
1.55,1.45E+01,1.5514,1.34E+02,1.561,3.48E+02,1.5615,1.20E+03,,4.50E-01,56.48744131,284.8313565,603.6938841,1916.752046,,56.84352249,284.6872716,602.5778859,1912.124789,,0.958144846,8.211498114,19.72368701,67.54062367
1.717,1.26E+01,1.719,1.19E+02,1.721,3.34E+02,1.7136,1.18E+03,,5.00E-01,52.95067899,271.6478912,578.8625599,1844.363089,,53.34921036,271.4565718,577.5282043,1838.876561,,0.935824826,8.321067065,20.14824978,69.2863289
1.893,1.03E+01,1.887,1.06E+02,1.873,3.29E+02,1.881,1.13E+03,,5.50E-01,49.67148287,259.6521976,556.5402008,1779.914094,,50.110301,259.4103232,554.9762685,1773.525297,,0.909048832,8.385538521,20.47532298,70.71971162
2.061,8.39E+00,2.0395,9.60E+01,2.0556,3.02E+02,2.056,1.05E+03,,6.00E-01,46.6247721,248.6964962,536.4122838,1722.405748,,47.10132918,248.4014484,534.6091422,1715.07692,,0.879046375,8.411585148,20.71914627,71.88621408
,,2.192,8.55E+01,2.2,2.85E+02,2.208,1.05E+03,,6.50E-01,43.78879683,238.6524282,518.2056663,1670.970423,,44.30024513,238.3022475,516.155149,1662.668623,,0.846807905,8.404768725,20.89156364,72.82359364
,,2.36,7.51E+01,2.3754,2.65E+02,2.383,1.01E+03,,7.00E-01,41.1446054,229.408276,501.6826333,1624.853169,,41.68787605,229.0016184,499.3779237,1615.549881,,0.813131286,8.369769356,21.0025217,73.5635306
,,2.5276,6.60E+01,2.5426,2.58E+02,2.5424,9.94E+02,,7.50E-01,38.6756052,220.8666512,486.6359501,1583.395934,,39.24748096,220.402745,484.071472,1573.0667,,0.778657587,8.310557241,21.06044222,74.13282846
,,2.688,5.80E+01,2.695,2.37E+02,2.6945,9.66E+02,,8.00E-01,36.36719897,212.9425503,472.884712,1546.02434,,36.96438029,212.421155,470.0560259,1534.648413,,0.743899271,8.230523341,21.07250472,74.5543231
,,2.8484,4.95E+01,2.87,2.27E+02,2.869,9.40E+02,,8.50E-01,34.20648242,205.5617089,460.2708321,1512.236497,,34.82564629,204.9830753,457.1745379,1499.796524,,0.709262837,8.132580318,21.04486426,74.8475822
,,3.024,4.10E+01,3.03,2.11E+02,3.0366,9.13E+02,,9.00E-01,32.1819923,198.6591974,448.656048,1481.593487,,32.8198434,198.0240299,445.2896944,1468.075205,,0.675067304,8.019241759,20.98282184,75.02945169
,,3.1996,3.60E+01,3.1975,1.94E+02,3.196,9.14E+02,,9.50E-01,30.28349604,192.1782171,437.9193571,1453.7112,,30.93681019,191.4876381,434.2813569,1439.103159,,0.641559479,7.892685297,20.8909598,75.11448929
,,3.36,3.12E+01,3.365,1.83E+02,3.356,8.63E+02,,1.00E+00,28.50181595,186.0690622,427.9548074,1428.253315,,29.16747598,185.3245792,424.0443589,1412.546624,,0.608926674,7.754803662,20.77325096,75.1153135
,,3.5356,2.55E+01,3.532,1.75E+02,3.531,8.52E+02,,1.05E+00,26.82868215,180.2882227,418.6695881,1404.925236,,27.50370642,179.4916973,414.486602,1388.113322,,0.577307338,7.607246499,20.63314782,75.04288821
,,3.719,2.11E+01,3.7076,1.56E+02,3.713,8.16E+02,,1.10E+00,25.25660927,174.7976068,409.9823736,1383.468826,,25.93817357,173.9512262,405.5274059,1365.547216,,0.546799969,7.451455055,20.47365624,74.90675788
,,3.864,1.80E+01,3.875,1.45E+02,3.88,8.05E+02,,1.15E+00,23.77879304,169.5638645,401.8218845,1363.657839,,24.4642464,168.6701149,397.0960744,1344.623962,,0.517470579,7.28869126,20.29739702,74.71524369
,,4.025,1.56E+01,4.035,1.35E+02,4.032,7.94E+02,,1.20E+00,22.38902336,164.5577987,394.1256341,1345.293943,,23.0758985,163.6194413,389.1306465,1325.146938,,0.489358939,7.12006232,20.10665788,74.47560882
,,4.193,1.33E+01,4.195,1.24E+02,4.192,7.61E+02,,1.25E+00,21.08161104,159.7538523,386.8388349,1328.203242,,21.76763024,158.773901,381.5768083,1306.943793,,0.462483779,6.946541694,19.9034375,74.19419868
,,4.353,1.15E+01,4.34,1.12E+02,4.352,7.50E+02,,1.30E+00,19.85132595,155.1296598,379.9134436,1312.23325,,20.53440304,154.1113615,374.3869419,1289.863429,,0.436847125,6.768987108,19.68948325,73.87656082
,,,,4.515,1.02E+02,4.5114,7.09E+02,,1.35E+00,18.69334466,150.6656567,373.307327,1297.250238,,19.37158376,149.6124725,367.5192953,1273.773363,,0.412437882,6.58815611,19.46632359,73.52754775
,,,,4.683,8.91E+01,4.686,7.09E+02,,1.40E+00,17.60320587,146.3447373,366.9835309,1283.136917,,18.27489761,145.2603261,360.9372556,1258.557423,,0.389234792,6.40471958,19.23529601,73.15140578
,,,,,,4.853,7.00E+02,,1.45E+00,16.57677243,142.1519566,360.909642,1269.79041,,17.24038811,141.0401602,354.608714,1244.113731,,0.367208864,6.219273517,18.99757125,72.75185183
,,,,,,5.0055,6.70E+02,,1.50E+00,15.6101988,138.0742691,355.0572274,1257.120475,,16.264383,136.9390986,348.5055088,1230.352934,,0.346325366,6.032349364,18.75417428,72.33214005
,,,,,,5.173,6.42E+02,,1.55E+00,14.69990306,134.1003013,349.4013446,1245.047949,,15.34346514,132.945925,342.6029386,1217.196662,,0.32654544,5.844423104,18.50600262,71.89511992
,,,,,,5.34,6.34E+02,,1.60E+00,13.84254261,130.220153,343.9201121,1233.503382,,14.47444748,129.0508852,336.8793353,1204.57617,,0.307827412,5.655923289,18.25384225,71.44328668
,,,,,,,,,1.65E+00,13.03499323,126.4252238,338.5943323,1222.425846,,13.65435156,125.2455147,331.3156901,1192.431152,,0.290127847,5.467238185,17.99838151,70.97882548
,,,,,,,,,1.70E+00,12.27433059,122.7080622,333.407162,1211.761881,,12.88038888,121.5224886,325.8953258,1180.708701,,0.273402388,5.278722139,17.74022325,70.50364991
,,,,,,,,,1.75E+00,11.55781411,119.0622351,328.3438226,1201.464583,,12.14994468,117.8754915,320.6036099,1169.362396,,0.257606424,5.090701288,17.47989548,70.0194356
,,,,,,,,,1.80E+00,10.8828727,115.4822136,323.3913466,1191.492794,,11.46056383,114.2991033,315.4277022,1158.351505,,0.242695614,4.903478721,17.21786059,69.52764975
