Dose,Time,Plasma_Conc_Mean,Plasma_Conc_SD
1,6,1.35,0.51
1,48,2.2,0.86
1,54,4.38,1.62
1,96,4.65,1.33
1,102,6.18,1.58
1,168,4.9,1.36
1,174,6.29,1.64
1,216,6.58,1.4
1,222,7.32,1.9
1,264,7.58,1.81
1,270,8.15,2.14
1,336,6.82,2.06
1,342,7.65,1.78
1,384,7.35,1.48
1,390,8.11,1.84
1,432,8.33,1.84
1,438,9.25,2.07
10,6,3.69,1.32
10,48,7.39,2.78
10,54,11.22,5.1
10,96,13.73,6.19
10,102,15.81,6.24
10,168,13.97,5.23
10,174,16.7,5.55
10,216,18.81,6.31
10,222,19.5,6.42
10,264,20.33,7.73
10,270,21.73,8.17
10,336,20.86,7.76
10,342,19.43,6.85
10,384,20.16,7.18
10,390,21.48,7.85
10,432,21.87,6.89
10,438,24.13,6.9
25,6,7.73,3.08
25,48,17.68,5.25
25,54,29.26,7.04
25,96,30.04,5.65
25,102,40.33,9.97
25,168,30.1,5.26
25,174,35.06,6.83
25,216,32.09,11.1
25,222,35.67,6.54
25,264,36.36,10.42
25,270,39.58,11.63
25,336,30.88,10.29
25,342,32.64,10.88
25,384,31.89,9.19
25,390,34.79,10.89
25,432,39.58,17.78
25,438,46.32,23.74
