time_blood_sim,blood_sim,time_fat_sim,fat_sim,time_blood_data,blood_data,time_fat_data,fat_data
0.365572777,1.461700614,0.245822149,1.623511804,1.065351979,1.890468303,1.009156637,27.38535656
0.570179236,1.762080033,0.278552256,3.508039766,1.082972552,1.411988482,1.026604035,22.45627811
0.945687938,2.003953359,0.328469997,7.150384225,1.100463244,1.131126368,1.027383323,14.751238
1.35544203,2.175101037,0.515282708,12.67046197,3.064464456,1.21458307,3.005584899,74.82029146
1.833578665,2.279709296,0.770607845,20.21368578,3.082128323,0.886236375,3.006450775,46.90631065
2.345852455,2.417452038,1.179712529,31.14070402,4.994047104,1.500275776,3.006883713,37.13959943
3.0289419,2.534018923,1.708481254,45.25776819,4.994458395,1.201840237,4.970668456,44.81778016
3.882782059,2.71922122,2.237488094,57.84836749,5.012078968,0.897653016,5.003853147,75.78716054
4.77078102,2.918017462,2.783595982,73.08423538,5.951878951,0.711135812,5.004069616,67.43705651
5.453848818,3.094636023,3.466404018,89.16241724,5.96757295,1.501128504,5.960104771,84.22972994
5.949108148,3.168651924,4.35425145,103.8276682,5.985236817,1.095317988,5.976881115,99.18490455
5.983873063,2.28523838,5.071369816,116.7325478,6.292427916,1.245618018,5.977595463,67.47538645
6.035630791,1.726917638,5.754372673,128.210255,6.327452593,0.780917977,6.267230929,99.20171474
6.275738159,1.009545502,6.232574249,129.7518891,6.327928825,0.6040487,6.284635033,83.26796739
6.652285912,0.655604813,6.676876786,114.1456907,7.011321327,0.537709983,6.302125725,66.70493046
7.302017491,0.446176252,7.360399169,94.73652433,7.028898606,0.411101688,6.984977054,79.50174405
7.746406615,0.374604914,8.283141398,74.18010962,7.046194476,0.36581083,6.985280111,67.51508425
8.378777383,0.296715065,9.137609317,56.74149453,8.020477963,0.243256094,7.001666811,98.09246302
9.113581262,0.240586418,10.29961469,40.94901733,8.020737726,0.211459545,7.942246082,51.04701917
10.00220798,0.184031881,11.359122,29.89715924,8.038206771,0.171386641,7.958914192,63.72341962
10.82247381,0.144091085,12.41858602,22.34373496,9.968503767,0.144019282,8.009827691,75.92024601
11.74523768,0.111516064,13.40975409,16.50420453,10.00337692,0.09797812,9.957680319,49.34829415
12.87312754,0.078619826,14.33251797,12.77305897,10.03820677,0.068230251,9.958069963,39.99608574
14.47937051,0.051692762,15.49454498,9.111039468,11.96746472,0.100407554,9.958394666,33.57159271
15.50474067,0.037302489,16.656572,6.498916224,12.00261927,0.058690621,11.93906399,45.00043674
16.73510694,0.026300163,17.85275781,4.635777764,12.02041302,0.039927566,11.95657633,35.63091688
17.86293186,0.019202696,19.15152827,3.119476646,13.96638237,0.071655831,11.95703091,27.88452397
19.16170231,0.01292175,20.58693393,2.099304827,13.96815742,0.02751287,13.97309291,19.21514232
20.56292753,0.008797842,21.88568274,1.429237288,13.98415447,0.049320261,13.97337432,16.50963479
21.79331544,0.00613094,22.94516841,1.05574852,15.96638237,0.0285267,13.97380726,13.07204115
22.86988051,0.004528846,23.83377349,0.817056601,15.98313707,0.033986106,15.93696424,22.12982197
23.74138454,0.003546048,,,15.98389471,0.022587169,15.95473634,15.23181841
,,,,19.96421768,0.014528535,15.95512598,12.3451707
,,,,19.98263919,0.007045383,19.93298121,30.04714917
,,,,23.94618582,0.003848438,19.98519352,17.76968077
,,,,23.9466404,0.003011762,19.98612434,10.75678273
,,,,23.9473764,0.00202512,23.93380379,3.056008507
,,,,,,23.93423673,2.419694285
,,,,,,23.95235518,1.381716946
