time_conc_sim,conc_sim,time_conc_data,conc_data
0.001742488,24.8721805,0.040644297,17.03603083
0.017531027,19.87197536,0.076764942,9.932629437
0.035664208,13.30877035,0.107571207,8.257227099
0.079512134,7.074176432,0.138394614,6.655857048
0.105252594,5.360639389,0.176911016,5.202551177
0.141253237,3.87894913,0.205171521,4.225926035
0.182388257,2.721697835,0.274507045,2.683206412
0.205544385,2.160064338,0.330946624,2.049822617
0.236359221,1.768221078,0.420798229,1.195947463
0.267174057,1.447459561,0.508039786,0.765410394
0.297971749,1.222015051,0.68224004,0.5216303
0.349264094,0.985282115,0.838465687,0.399008512
0.41335381,0.788435215,1.012597368,0.307646212
0.477409239,0.671076308,1.176443151,0.260174398
0.551694852,0.575685119,1.330067323,0.214966221
0.638782121,0.486372946,1.501593243,0.180416397
0.723297916,0.420522958,1.755024911,0.143611269
0.835967071,0.358151716,1.99813211,0.134398725
0.95375346,0.305051339,2.25165378,0.090982195
1.061288237,0.267930361,2.502419686,0.087822569
1.204656512,0.23004921,2.750768407,0.065718796
1.373619529,0.194563919,2.991419847,0.051107014
1.552808443,0.167132583,3.272996304,0.040695854
1.6935881,0.151459346,,
1.821561814,0.14044613,,
1.941851104,0.13224545,,
2.082605047,0.125520901,,
2.243840783,0.116443558,,
2.397383525,0.111396685,,
2.596998518,0.103391771,,
2.776136002,0.097428387,,
2.965516527,0.090415331,,
3.170248754,0.083923648,,
3.328913016,0.079674559,,
3.47734281,0.07563065,,
