TimeMaleObs,MaleObs,TimeMalePred,MalePred,TimeFemaleObs,FemaleObs,TimeFemalePred,FemalePred
149.935169,0.523982725,0.045766446,4.546143454,149.9421713,0.341678719,0.344082924,8.904502079
,,0.132433983,3.652074081,,,0.769824591,7.282158858
,,0.362970935,2.80995659,,,1.308390366,6.06478331
,,1.230526559,2.166358161,,,1.703361244,5.185929487
,,3.703579794,2.052032346,,,2.121648998,4.349435455
,,6.254907144,1.968504457,,,2.909604335,3.590338143
,,8.740571549,1.918801566,,,3.893553878,3.001863808
,,11.55334665,1.858433996,,,5.46586295,2.548651294
,,14.69338951,1.771424948,,,7.625994102,2.270632195
,,17.79389848,1.718987859,,,9.981274898,2.157417091
,,20.63355314,1.664972854,,,12.3754544,2.093107888
,,23.91658157,1.604300415,,,14.6911036,2.036783432
,,26.40224598,1.563793334,,,17.04589581,1.993836636
,,28.62641028,1.514594707,,,19.40075782,1.94349413
,,32.35495924,1.452943194,,,21.75548022,1.910640625
,,35.29869379,1.393801204,,,24.11020263,1.878342488
,,38.59566811,1.331096147,,,26.46497597,1.840856374
,,40.924244,1.307479804,,,28.70193924,1.813828075
,,43.51081108,1.263539716,,,31.17450945,1.769538405
,,46.68059661,1.226504493,,,33.52930166,1.73222663
,,49.16631195,1.191824075,,,35.88416366,1.688489532
,,51.39053002,1.150544174,,,38.23902567,1.645856755
,,53.87626422,1.116724137,,,40.59381787,1.611152881
,,56.34958698,1.087274392,,,45.69560009,1.563793334
,,58.65142433,1.058784801,,,48.4428693,1.524309019
,,60.97624843,1.031872593,,,51.19013851,1.485821646
,,63.68832884,0.995330656,,,53.54500051,1.448306043
,,66.50098179,0.971233841,,,55.89986251,1.411737673
,,69.444664,0.934682903,,,58.25472452,1.376092621
,,71.60316535,0.919862337,,,60.60951673,1.347076885
,,74.74313983,0.880464537,,,63.08208693,1.314184247
,,77.88309401,0.843798882,,,65.35838374,1.287571
,,81.02308451,0.806868672,,,67.45479166,1.255813756
,,83.96666202,0.781483712,,,71.81093039,1.224105636
,,87.69517466,0.751337906,,,74.06634946,1.202027122
,,90.83499208,0.726087914,,,76.30796857,1.180346825
,,93.97493024,0.696532537,,,78.66283057,1.150544174
,,96.49070376,0.676116687,,,81.01769258,1.121494013
,,99.11641734,0.657165096,,,83.37248478,1.097846641
,,102.2172613,0.624797769,,,85.72727699,1.074697889
,,105.3570948,0.603209615,,,88.0820692,1.052037241
,,107.6464509,0.59175032,,,90.4368265,1.032051478
,,110.4591737,0.57496826,,,92.79151401,1.016769857
,,113.6383735,0.550859387,,,95.14623642,0.999582023
,,116.6998197,0.528774634,,,97.50102863,0.978505239
,,120.271343,0.509200433,,,99.85589063,0.953798899
,,123.4112448,0.489557979,,,102.2106479,0.935679389
,,126.5510622,0.473105548,,,104.565475,0.91400012
,,129.4945699,0.460178342,,,106.9203021,0.892823151
,,131.9803042,0.446651483,,,109.3880769,0.881479616
,,134.2044524,0.433023016,,,111.6296423,0.868427517
,,136.6901678,0.420778936,,,113.9845043,0.846500537
,,139.5028033,0.411029678,,,116.3392965,0.828651567
,,143.0743998,0.394046725,,,118.6941585,0.807728892
,,146.1753485,0.372251211,,,121.0489507,0.790697446
,,148.8581525,0.35809199,,,123.4430255,0.772048209
,,,,,,125.4641948,0.759320806
,,,,,,129.2904791,0.744895836
,,,,,,131.6453411,0.726087914
,,,,,,134.3926103,0.707754875
,,,,,,137.1398795,0.689884729
,,,,,,139.4947415,0.672465786
,,,,,,141.8495686,0.656885058
,,,,,,144.2044306,0.640299326
,,,,,,146.5592578,0.62546388
,,,,,,148.7178184,0.61332035
,,,,,,127.4179412,0.751970218
,,,,,,69.60430178,1.241414334
,,,,,,43.12972952,1.58333607
