DataTime,DataConc,ModelTime,ModelConc
2,0.55843949,0.020143588,0.009335573
2,0.468152866,0.052813996,0.021094872
2,0.647611465,0.084229321,0.032887579
,,0.123459788,0.048708228
,,0.154101337,0.058118292
,,0.19133933,0.069969462
,,0.228577323,0.082096239
,,0.264325796,0.09165067
,,0.30007427,0.100837623
,,0.335822743,0.108738403
,,0.371571216,0.116455443
,,0.40731969,0.123805005
,,0.443068163,0.13060335
,,0.478816636,0.136666739
,,0.51456511,0.142730128
,,0.550313583,0.1482423
,,0.586062056,0.153386994
,,0.62181053,0.158164209
,,0.657559003,0.163125164
,,0.693307476,0.167534901
,,0.72905595,0.171393421
,,0.764804423,0.175068202
,,0.800552897,0.178742983
,,0.83630137,0.182417765
,,0.872049843,0.185908807
,,0.907798317,0.18921611
,,0.94354679,0.192155935
,,0.979295263,0.195279499
,,1.015043737,0.198219324
,,1.05079221,0.20079167
,,1.086540683,0.203731495
,,1.122289157,0.206120103
,,1.15803763,0.208508711
,,1.193786103,0.210897318
,,1.229534577,0.213102187
,,1.26528305,0.215307056
,,1.301031523,0.217511924
,,1.336779997,0.219716793
,,1.37252847,0.221921662
,,1.408276943,0.223759052
,,1.444025417,0.225780182
,,1.47977389,0.227801312
,,1.515522363,0.229638702
,,1.551270837,0.231476093
,,1.58701931,0.233313483
,,1.622767783,0.234967135
,,1.658516257,0.236620786
,,1.69426473,0.238641916
,,1.730013203,0.240295568
,,1.765761677,0.241581741
,,1.80151015,0.243235392
,,1.837258624,0.245072783
,,1.873007097,0.246358956
,,1.90875557,0.24764513
,,1.944504044,0.24948252
,,1.980252517,0.250952433
,,2.01600099,0.252054867
,,2.051749464,0.254075997
,,2.087497937,0.255178431
,,2.12324641,0.256280866
,,2.158994884,0.258118256
,,2.194743357,0.258853212
,,2.23049183,0.260690603
,,2.266240304,0.261793037
,,2.301988777,0.262895472
,,2.33773725,0.264549123
,,2.373485724,0.265284079
,,2.409234197,0.266937731
,,2.44498267,0.267856426
,,2.480731144,0.269510078
,,2.516479617,0.270428773
,,2.55222809,0.271714946
,,2.587976564,0.272817381
,,2.623725037,0.273919815
,,2.65947351,0.275022249
,,2.695221984,0.276124684
,,2.730970457,0.277227118
,,2.766718931,0.278329552
,,2.802467404,0.279615726
,,2.838215877,0.280534421
,,2.873964351,0.281820594
,,2.909712824,0.28273929
,,2.945461297,0.283657985
,,2.981209771,0.284944158
,,3.005042086,0.285495376
