DataTime,DataConc,ModelTime,ModelConc
1.999573015,0.252531646,0.00920993,1.299118725
,,0.019354869,1.270008381
,,0.030070379,1.23830467
,,0.042968678,1.206842572
,,0.0548748,1.176693584
,,0.065788745,1.149559494
,,0.077694867,1.119179398
,,0.090593166,1.0877173
,,0.104908861,1.056150153
,,0.115794458,1.030875426
,,0.126807621,1.004899498
,,0.145162893,0.973371745
,,0.16327012,0.940924814
,,0.175495156,0.912443474
,,0.192787381,0.882679664
,,0.217166583,0.850359668
,,0.235450985,0.822994471
,,0.253310168,0.797257529
,,0.271169351,0.770785247
,,0.289028534,0.744312964
,,0.306887718,0.720046704
,,0.325172119,0.696568311
,,0.348559145,0.671514186
,,0.372371389,0.645041903
,,0.396183633,0.618845373
,,0.420988054,0.594671032
,,0.449761183,0.570037102
,,0.479526488,0.544447228
,,0.510644761,0.519799929
,,0.542884066,0.50212309
,,0.571774198,0.485684199
,,0.598612444,0.46636316
,,0.628353014,0.452014841
,,0.66407138,0.433631311
,,0.699789746,0.415983122
,,0.735508113,0.40201164
,,0.771226479,0.387304816
,,0.806944845,0.374436345
,,0.842663212,0.363038557
,,0.878381578,0.352008439
,,0.914099944,0.342081333
,,0.94981831,0.333257238
,,0.985536677,0.325536156
,,1.021255043,0.318182744
,,1.056973409,0.311197003
,,1.092691775,0.304946603
,,1.128410142,0.298696203
,,1.164128508,0.293548814
,,1.199846874,0.288401426
,,1.23556524,0.283989379
,,1.271283607,0.279577332
,,1.307001973,0.275900626
,,1.342720339,0.27259159
,,1.378438705,0.268914884
,,1.414157072,0.265238178
,,1.449875438,0.263032155
,,1.485593804,0.26009079
,,1.521312171,0.257149425
,,1.557030537,0.255678743
,,1.592748903,0.252369708
,,1.628467269,0.251266696
,,1.664185636,0.249796013
,,1.699904002,0.246854649
,,1.735622368,0.246854649
,,1.771340734,0.243913284
,,1.807059101,0.242442601
,,1.842777467,0.242442601
,,1.878495833,0.240604249
,,1.914214199,0.240245744
,,1.952909096,0.239501237
,,1.983524839,0.238382366
,,2.019509173,0.236646198
,,2.058873583,0.23449175
,,2.092806031,0.233618507
,,2.128524397,0.233618507
,,2.164242763,0.232515495
,,2.19996113,0.231044813
,,2.235679496,0.22920646
,,2.271397862,0.22920646
,,2.307116228,0.22920646
,,2.342834595,0.22920646
,,2.378552961,0.228103448
,,2.414271327,0.227000436
,,2.449989693,0.224794413
,,2.48570806,0.224794413
,,2.521426426,0.224794413
,,2.557144792,0.224794413
,,2.592863159,0.224794413
,,2.628581525,0.224059072
,,2.664299891,0.222588389
,,2.700018257,0.221853048
,,2.735736624,0.220382366
,,2.77145499,0.220382366
,,2.807173356,0.220382366
,,2.842891722,0.220382366
,,2.878610089,0.220382366
,,2.914328455,0.220382366
,,2.950046821,0.218911683
,,2.985765187,0.218176342
,,3.006600901,0.218176342
