species,animal_id,N_animals,BW,BW_units,BW_init,BW_init_units,strain,dose,dose_units,time,time_units,conc_mean,conc_sd,standard_error,conc_units,route,matrix,sex,dtxsid,source
rat,651159,1,-1,NA,239,g,sprague-dawley,1,mg/kg,0.5,hour,24.64,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix B
rat,651159,1,-1,NA,239,g,sprague-dawley,1,mg/kg,2,hour,29.78,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix B
rat,651159,1,-1,NA,239,g,sprague-dawley,1,mg/kg,4,hour,22.4,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix B
rat,651159,1,-1,NA,239,g,sprague-dawley,1,mg/kg,8,hour,23.74,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix B
rat,651159,1,-1,NA,239,g,sprague-dawley,1,mg/kg,12,hour,24.18,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix B
rat,651159,1,-1,NA,239,g,sprague-dawley,1,mg/kg,16,hour,21.86,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix B
rat,651159,1,-1,NA,239,g,sprague-dawley,1,mg/kg,24,hour,21.4,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix B
rat,651159,1,-1,NA,239,g,sprague-dawley,1,mg/kg,48,hour,23.56,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix B
rat,651159,1,-1,NA,239,g,sprague-dawley,1,mg/kg,72,hour,16.46,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix B
rat,651159,1,-1,NA,239,g,sprague-dawley,1,mg/kg,96,hour,12.58,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix B
rat,651159,1,-1,NA,239,g,sprague-dawley,1,mg/kg,120,hour,11.14,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix B
rat,651159,1,-1,NA,239,g,sprague-dawley,1,mg/kg,144,hour,13.34,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix B
rat,651159,1,-1,NA,239,g,sprague-dawley,1,mg/kg,168,hour,8.39,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix B
rat,651161,1,-1,NA,268.3,g,sprague-dawley,1,mg/kg,0.5,hour,8.88,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix B
rat,651161,1,-1,NA,268.3,g,sprague-dawley,1,mg/kg,2,hour,17.44,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix B
rat,651161,1,-1,NA,268.3,g,sprague-dawley,1,mg/kg,4,hour,19,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix B
rat,651161,1,-1,NA,268.3,g,sprague-dawley,1,mg/kg,8,hour,20.88,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix B
rat,651161,1,-1,NA,268.3,g,sprague-dawley,1,mg/kg,12,hour,22.18,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix B
rat,651161,1,-1,NA,268.3,g,sprague-dawley,1,mg/kg,16,hour,20.9,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix B
rat,651161,1,-1,NA,268.3,g,sprague-dawley,1,mg/kg,24,hour,20.68,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix B
rat,651161,1,-1,NA,268.3,g,sprague-dawley,1,mg/kg,48,hour,14.46,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix B
rat,651161,1,-1,NA,268.3,g,sprague-dawley,1,mg/kg,72,hour,12.78,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix B
rat,651161,1,-1,NA,268.3,g,sprague-dawley,1,mg/kg,96,hour,12.56,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix B
rat,651161,1,-1,NA,268.3,g,sprague-dawley,1,mg/kg,120,hour,9.04,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix B
rat,651161,1,-1,NA,268.3,g,sprague-dawley,1,mg/kg,144,hour,7.4,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix B
rat,651161,1,-1,NA,268.3,g,sprague-dawley,1,mg/kg,168,hour,7.44,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix B
rat,651162,1,-1,NA,231.5,g,sprague-dawley,1,mg/kg,0.5,hour,17.2,-1,0,ug/ml,gavage,plasma,Female,DTXSID8031865,Appendix B
rat,651162,1,-1,NA,231.5,g,sprague-dawley,1,mg/kg,2,hour,14.32,-1,0,ug/ml,gavage,plasma,Female,DTXSID8031865,Appendix B
rat,651162,1,-1,NA,231.5,g,sprague-dawley,1,mg/kg,4,hour,9.06,-1,0,ug/ml,gavage,plasma,Female,DTXSID8031865,Appendix B
rat,651162,1,-1,NA,231.5,g,sprague-dawley,1,mg/kg,8,hour,4.05,-1,0,ug/ml,gavage,plasma,Female,DTXSID8031865,Appendix B
rat,651162,1,-1,NA,231.5,g,sprague-dawley,1,mg/kg,12,hour,1.76,-1,0,ug/ml,gavage,plasma,Female,DTXSID8031865,Appendix B
rat,651162,1,-1,NA,231.5,g,sprague-dawley,1,mg/kg,16,hour,0.67,-1,0,ug/ml,gavage,plasma,Female,DTXSID8031865,Appendix B
rat,651162,1,-1,NA,231.5,g,sprague-dawley,1,mg/kg,24,hour,0.12,-1,0,ug/ml,gavage,plasma,Female,DTXSID8031865,Appendix B
rat,651162,1,-1,NA,231.5,g,sprague-dawley,1,mg/kg,48,hour,0.05,-1,0,ug/ml,gavage,plasma,Female,DTXSID8031865,Appendix B
rat,651162,1,-1,NA,231.5,g,sprague-dawley,1,mg/kg,72,hour,0.07,-1,0,ug/ml,gavage,plasma,Female,DTXSID8031865,Appendix B
rat,651162,1,-1,NA,231.5,g,sprague-dawley,1,mg/kg,144,hour,0.01,-1,0,ug/ml,gavage,plasma,Female,DTXSID8031865,Appendix B
rat,651163,1,-1,NA,225.8,g,sprague-dawley,1,mg/kg,0.5,hour,33.4,-1,0,ug/ml,gavage,plasma,Female,DTXSID8031865,Appendix B
rat,651163,1,-1,NA,225.8,g,sprague-dawley,1,mg/kg,2,hour,25.08,-1,0,ug/ml,gavage,plasma,Female,DTXSID8031865,Appendix B
rat,651163,1,-1,NA,225.8,g,sprague-dawley,1,mg/kg,4,hour,13.16,-1,0,ug/ml,gavage,plasma,Female,DTXSID8031865,Appendix B
rat,651163,1,-1,NA,225.8,g,sprague-dawley,1,mg/kg,8,hour,4.71,-1,0,ug/ml,gavage,plasma,Female,DTXSID8031865,Appendix B
rat,651163,1,-1,NA,225.8,g,sprague-dawley,1,mg/kg,12,hour,1.31,-1,0,ug/ml,gavage,plasma,Female,DTXSID8031865,Appendix B
rat,651163,1,-1,NA,225.8,g,sprague-dawley,1,mg/kg,16,hour,0.39,-1,0,ug/ml,gavage,plasma,Female,DTXSID8031865,Appendix B
rat,651163,1,-1,NA,225.8,g,sprague-dawley,1,mg/kg,24,hour,0.09,-1,0,ug/ml,gavage,plasma,Female,DTXSID8031865,Appendix B
rat,651163,1,-1,NA,225.8,g,sprague-dawley,1,mg/kg,48,hour,0.01,-1,0,ug/ml,gavage,plasma,Female,DTXSID8031865,Appendix B
rat,651163,1,-1,NA,225.8,g,sprague-dawley,1,mg/kg,72,hour,0.01,-1,0,ug/ml,gavage,plasma,Female,DTXSID8031865,Appendix B
rat,652092,1,-1,NA,223.3,g,sprague-dawley,0.1,mg/kg,0.25,hour,0.438,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652092,1,-1,NA,223.3,g,sprague-dawley,0.1,mg/kg,0.5,hour,0.438,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652092,1,-1,NA,223.3,g,sprague-dawley,0.1,mg/kg,1,hour,0.376,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652092,1,-1,NA,223.3,g,sprague-dawley,0.1,mg/kg,2,hour,0.452,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652092,1,-1,NA,223.3,g,sprague-dawley,0.1,mg/kg,4,hour,0.445,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652092,1,-1,NA,223.3,g,sprague-dawley,0.1,mg/kg,8,hour,0.468,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652092,1,-1,NA,223.3,g,sprague-dawley,0.1,mg/kg,12,hour,0.573,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652092,1,-1,NA,223.3,g,sprague-dawley,0.1,mg/kg,16,hour,0.43,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652092,1,-1,NA,223.3,g,sprague-dawley,0.1,mg/kg,24,hour,0.383,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652092,1,-1,NA,223.3,g,sprague-dawley,0.1,mg/kg,36,hour,0.291,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652092,1,-1,NA,223.3,g,sprague-dawley,0.1,mg/kg,48,hour,0.272,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652092,1,-1,NA,223.3,g,sprague-dawley,0.1,mg/kg,72,hour,0.255,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652092,1,-1,NA,223.3,g,sprague-dawley,0.1,mg/kg,96,hour,0.24,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652092,1,-1,NA,223.3,g,sprague-dawley,0.1,mg/kg,120,hour,0.219,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652092,1,-1,NA,223.3,g,sprague-dawley,0.1,mg/kg,144,hour,0.189,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652092,1,-1,NA,223.3,g,sprague-dawley,0.1,mg/kg,168,hour,0.221,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652092,1,-1,NA,223.3,g,sprague-dawley,0.1,mg/kg,192,hour,0.194,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652092,1,-1,NA,223.3,g,sprague-dawley,0.1,mg/kg,240,hour,0.136,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652092,1,-1,NA,223.3,g,sprague-dawley,0.1,mg/kg,288,hour,0.145,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652092,1,-1,NA,223.3,g,sprague-dawley,0.1,mg/kg,336,hour,0.094,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652092,1,-1,NA,223.3,g,sprague-dawley,0.1,mg/kg,384,hour,0.083,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652092,1,-1,NA,223.3,g,sprague-dawley,0.1,mg/kg,432,hour,0.07,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652092,1,-1,NA,223.3,g,sprague-dawley,0.1,mg/kg,480,hour,0.063,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652092,1,-1,NA,223.3,g,sprague-dawley,0.1,mg/kg,528,hour,0.04,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652093,1,-1,NA,228.3,g,sprague-dawley,0.1,mg/kg,0.25,hour,0.105,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652093,1,-1,NA,228.3,g,sprague-dawley,0.1,mg/kg,0.5,hour,0.125,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652093,1,-1,NA,228.3,g,sprague-dawley,0.1,mg/kg,1,hour,0.185,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652093,1,-1,NA,228.3,g,sprague-dawley,0.1,mg/kg,2,hour,0.214,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652093,1,-1,NA,228.3,g,sprague-dawley,0.1,mg/kg,4,hour,0.239,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652093,1,-1,NA,228.3,g,sprague-dawley,0.1,mg/kg,8,hour,0.339,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652093,1,-1,NA,228.3,g,sprague-dawley,0.1,mg/kg,12,hour,0.429,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652093,1,-1,NA,228.3,g,sprague-dawley,0.1,mg/kg,16,hour,0.387,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652093,1,-1,NA,228.3,g,sprague-dawley,0.1,mg/kg,24,hour,0.347,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652093,1,-1,NA,228.3,g,sprague-dawley,0.1,mg/kg,36,hour,0.36,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652093,1,-1,NA,228.3,g,sprague-dawley,0.1,mg/kg,48,hour,0.279,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652093,1,-1,NA,228.3,g,sprague-dawley,0.1,mg/kg,72,hour,0.32,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652093,1,-1,NA,228.3,g,sprague-dawley,0.1,mg/kg,96,hour,0.245,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652093,1,-1,NA,228.3,g,sprague-dawley,0.1,mg/kg,120,hour,0.233,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652093,1,-1,NA,228.3,g,sprague-dawley,0.1,mg/kg,144,hour,0.22,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652093,1,-1,NA,228.3,g,sprague-dawley,0.1,mg/kg,168,hour,0.199,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652093,1,-1,NA,228.3,g,sprague-dawley,0.1,mg/kg,192,hour,0.177,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652093,1,-1,NA,228.3,g,sprague-dawley,0.1,mg/kg,240,hour,0.148,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652093,1,-1,NA,228.3,g,sprague-dawley,0.1,mg/kg,288,hour,0.147,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652093,1,-1,NA,228.3,g,sprague-dawley,0.1,mg/kg,336,hour,0.108,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652093,1,-1,NA,228.3,g,sprague-dawley,0.1,mg/kg,384,hour,0.085,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652093,1,-1,NA,228.3,g,sprague-dawley,0.1,mg/kg,432,hour,0.059,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652093,1,-1,NA,228.3,g,sprague-dawley,0.1,mg/kg,480,hour,0.057,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652093,1,-1,NA,228.3,g,sprague-dawley,0.1,mg/kg,528,hour,0.053,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652095,1,-1,NA,205.9,g,sprague-dawley,0.1,mg/kg,0.25,hour,0.141,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652095,1,-1,NA,205.9,g,sprague-dawley,0.1,mg/kg,0.5,hour,0.198,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652095,1,-1,NA,205.9,g,sprague-dawley,0.1,mg/kg,1,hour,0.267,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652095,1,-1,NA,205.9,g,sprague-dawley,0.1,mg/kg,2,hour,0.376,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652095,1,-1,NA,205.9,g,sprague-dawley,0.1,mg/kg,4,hour,0.425,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
rat,652095,1,-1,NA,205.9,g,sprague-dawley,0.1,mg/kg,8,hour,0.491,-1,0,ug/ml,gavage,plasma,Male,DTXSID8031865,Appendix H
