age,male,female
21,51.9,55.4
28,81.6,82.3
35,124.5,111.6
42,170.3,146.3
49,217.1,168.8
56,262.1,188.5
63,296.4,202.2
70,321.2,213.2
77,341.3,224.4
84,356.8,231.4
91,374.3,236.8
98,385.8,241.2
105,395.6,245.7
140,431.7,256.6
161,447.3,269.1
189,463.7,279.3
217,484.5,287.1
245,498.7,291.9
273,508.7,299.6
301,519.7,302.9
329,528.1,313
357,536.8,317.3
385,549,324.2
413,553.4,331.2
441,555,339.7
469,562.5,339.8
497,572,346.4
525,581.4,356.3
553,586.5,364
581,591.3,366
609,591.7,369.8
637,597.6,372.9
665,598.5,376.8
693,594.9,383.1
721,605.6,378.2
749,604.4,383.9
